X,Y,Time
736.6,324.4,1607623216685
736.7,322.5,1607623216689
736.2,320.6,1607623216693
735.4,319.0,1607623216697
734.2,318.3,1607623216701
733.4,318.1,1607623216705
733.2,317.5,1607623216709
733.8,316.5,1607623216713
734.3,315.4,1607623216717
734.5,314.6,1607623216721
734.0,314.7,1607623216725
733.5,315.8,1607623216729
733.4,317.3,1607623216733
733.2,318.6,1607623216737
733.1,319.7,1607623216741
733.1,320.7,1607623216745
733.3,320.0,1607623216749
733.6,319.1,1607623216753
734.0,318.0,1607623216757
734.2,317.0,1607623216761
734.4,317.3,1607623216765
734.7,317.1,1607623216769
735.0,316.6,1607623216773
735.3,316.5,1607623216777
734.8,316.8,1607623216781
733.9,317.2,1607623216785
733.3,317.1,1607623216789
732.8,315.9,1607623216793
732.7,314.6,1607623216797
732.3,313.8,1607623216801
731.7,313.4,1607623216805
731.5,313.4,1607623216809
732.2,312.4,1607623216813
733.1,311.6,1607623216817
733.7,311.3,1607623216821
732.8,311.7,1607623216825
